state,total,tpc,cases
AL,45529,9286,577463
AK,10688,14610,71757
AZ,71763,9859,923205
AR,28005,9280,382569
CA,513340,12992,3829551
CO,60353,10480,573907
CT,42529,11929,353844
DE,11965,12287,111129
DC,14581,20660,50329
FL,225101,10481,2482989
GA,116989,11019,929614
HI,20158,14237,41303
ID,18182,10174,199955
IL,154217,12170,1417263
IN,64597,9595,773507
IA,30972,9817,378831
KS,28119,9652,330932
KY,42602,9536,481001
LA,56969,12255,536366
ME,16414,12211,70261
MD,69869,11557,467435
MA,97834,14194,672122
MI,125043,12521,1008429
MN,62561,11093,612001
MS,31254,10502,341862
MO,58764,9575,672586
MT,12466,11664,116143
NE,20183,10434,224488
NV,37866,12293,355091
NH,15515,11410,101283
NJ,120332,13548,1037052
NM,21699,10349,210085
NY,310103,15941,2127900
NC,95126,9070,1044888
ND,10896,14299,111486
OH,124266,10631,1126625
OK,38591,9753,474845
OR,45313,10743,218689
PA,158228,12360,1223390
RI,15394,14531,154153
SC,46877,9105,614912
SD,11029,12466,125207
TN,65270,9557,891331
TX,307047,10589,3099124
UT,27806,8673,431256
VT,9845,15778,24830
VA,81144,9507,693206
WA,83785,11003,472362
WV,17742,9900,166748
WI,55279,9494,686013
WY,8133,14052,64955
